tract,PI_elementary,PI_middle,PI_High
101101,124,49,49
101102,77,49,49
101200,111,54,54
101300,77,49,49
101400,112,49,49
101501,124,49,49
101603,103,49,49
101700,103,54,54
101800,103,54,54
101901,152,54,54
102101,112,39,39
102102,89,39,39
102200,147,39,39
102300,147,54,54
102401,147,54,54
102402,147,54,54
102700,102,54,54
102800,99,54,54
102900,99,64,64
103100,69,35,35
103300,69,35,35
103400,136,35,35
103500,167,35,35
103602,69,35,35
103800,105,35,35
103900,140,35,35
104100,113,64,64
104200,83,63,63
104300,83,64,64
104400,83,64,64
104600,85,64,64
104800,85,64,64
104900,99,64,64
105100,102,54,54
105300,99,64,64
105400,119,64,64
105500,119,64,64
105602,119,64,64
105700,97,30,30
105900,94,30,30
106100,37,41,41
106200,123,41,41
106300,141,30,30
106400,37,30,30
106500,123,41,41
106600,123,41,41
106800,141,30,30
106900,97,30,30
107000,97,30,30
107101,62,50,50
107701,170,50,50
107802,62,50,50
108201,75,48,48
108301,62,48,48
108400,62,48,48
108701,170,63,63
109301,170,63,63
109701,170,63,63
109801,121,52,52
110501,155,52,52
110801,155,52,52
110901,91,64,64
111202,75,26,26
111401,158,59,59
111500,75,26,26
111600,75,26,26
111700,138,26,26
111800,138,55,55
111902,138,55,55
112100,169,55,55
112200,156,55,55
112301,174,55,55
112400,169,55,55
112500,169,55,55
112600,161,55,55
112800,169,55,55
113101,169,55,55
113500,159,24,24
113600,159,24,24
113801,121,52,52
114100,159,52,52
114300,172,52,52
114501,142,66,66
114600,172,52,52
114700,172,52,52
114900,171,52,52
115100,173,13,13
115200,171,66,66
115300,104,58,58
115400,104,13,13
115700,133,13,13
115800,166,58,58
115900,100,34,34
116100,165,59,59
116200,160,59,59
116300,160,59,59
116400,158,59,59
116500,165,59,59
116600,71,59,59
116700,160,59,59
116800,71,59,59
116900,128,47,47
117101,168,61,61
117102,168,61,61
117201,86,42,42
117202,144,42,42
117300,168,47,47
117400,168,61,61
117500,168,56,56
117600,86,32,32
117700,86,32,32
117800,144,32,32
117900,154,42,42
118101,64,59,59
118200,64,59,59
118301,150,2,2
118400,151,59,59
118500,151,59,59
118602,156,2,2
118700,150,2,2
118800,150,2,2
118900,161,2,2
119100,150,2,2
119202,148,24,24
119300,79,66,66
119401,148,36,36
119402,164,36,36
119501,63,36,36
119502,164,36,36
119600,79,66,66
119701,60,36,36
119702,164,36,36
119800,163,58,58
119900,163,21,21
120200,159,66,66
120400,142,66,66
120500,146,58,58
120600,146,58,58
120701,157,58,58
120702,157,58,58
120801,163,53,53
120802,163,58,58
121100,157,58,58
121200,157,58,58
121300,166,58,58
121401,143,58,58
121403,149,58,58
121500,162,53,53
121700,153,53,53
121800,145,19,19
121900,153,53,53
122100,145,19,19
122200,153,53,53
122300,153,53,53
123100,4,17,17
123200,4,40,40
123400,107,40,40
123501,134,39,39
123502,4,40,40
123601,34,40,40
123602,68,40,40
123603,34,40,40
123700,114,67,67
123800,114,40,40
123900,4,40,40
124100,134,39,39
124201,34,40,40
124202,95,40,40
124300,130,40,40
124500,95,60,60
124600,125,60,60
126100,154,42,42
127501,166,58,58
130103,14,10,10
130104,14,10,10
130105,11,10,10
130106,11,4,4
131102,6,11,11
131103,10,11,11
131104,10,11,11
132100,87,31,31
132200,87,31,31
132301,47,31,31
132302,87,31,31
133103,93,37,37
133104,93,65,65
134100,35,18,18
134203,35,18,18
134204,35,18,18
134205,35,18,18
134206,35,18,18
134300,35,18,18
135103,15,7,7
135104,9,7,7
135105,20,7,7
135106,9,67,67
136101,12,20,20
136102,175,12,12
136103,15,7,7
137101,80,22,22
137102,80,22,22
137103,80,22,22
138105,39,18,18
138106,43,18,18
138107,53,60,60
138108,43,62,62
138109,53,57,57
138110,53,62,62
140100,135,45,45
140301,139,45,45
140302,139,45,45
140400,118,45,45
140500,118,27,27
140600,42,45,45
140701,42,45,45
140702,42,33,33
140800,118,33,33
140900,42,33,33
141000,132,45,45
141100,42,2,2
141200,63,2,2
141300,63,36,36
141400,63,36,36
141500,106,21,21
141601,106,21,21
141602,106,33,33
141700,70,33,33
150100,115,45,45
150300,137,45,45
150400,137,45,45
151100,120,45,45
151200,120,45,45
151300,137,45,45
151400,137,45,45
151500,132,45,45
151600,132,45,45
151700,132,45,45
151800,132,59,59
152101,116,46,46
152102,116,46,46
152201,122,46,46
152202,122,46,46
152301,122,46,46
152302,122,46,46
152303,122,46,46
152400,116,38,38
152501,116,38,38
152502,98,38,38
152603,92,32,32
152604,92,32,32
152701,144,32,32
152702,154,32,32
152703,92,32,32
153103,39,67,67
153104,54,4,4
153105,5,4,4
153106,54,67,67
153107,68,4,4
154100,100,34,34
154200,110,34,34
154300,149,34,34
154400,24,13,13
154501,110,34,34
154502,109,34,34
154601,110,34,34
154603,90,34,34
154604,109,44,44
154700,153,53,53
155101,101,15,15
155102,52,15,15
156101,24,13,13
156102,7,6,6
160100,84,17,17
160200,84,17,17
160300,84,17,17
160400,67,17,17
160500,67,17,17
160601,67,49,49
160602,67,49,49
160700,84,4,4
160800,84,4,4
160900,84,4,4
161000,84,17,17
161100,84,17,17
161200,4,17,17
161300,67,17,17
161400,67,17,17
161500,67,17,17
161600,67,49,49
161700,77,49,49
161800,134,49,49
170101,66,27,27
170102,45,27,27
170201,28,27,27
170202,28,27,27
171102,47,44,44
171103,117,44,44
171104,129,37,37
171203,90,44,44
171204,117,44,44
171205,117,44,44
171206,81,44,44
172101,45,15,15
172102,51,15,15
172103,41,15,15
172201,51,15,15
172202,51,15,15
173103,30,28,28
173104,30,18,18
173105,40,28,28
173106,30,18,18
173107,30,18,18
174103,23,16,16
174104,72,25,25
174105,72,16,16
174106,26,16,16
174107,59,67,67
174203,55,16,16
174204,25,16,16
174205,33,16,16
174206,26,16,16
174207,26,16,16
175103,16,12,12
175104,16,12,12
175105,12,12,12
175106,12,20,20
175201,175,12,12
175202,175,12,12
176100,18,8,8
176200,18,8,8
177101,53,57,57
177103,76,22,22
177104,76,23,23
177201,78,23,23
177202,78,23,23
177302,73,29,29
177303,73,30,30
177304,73,23,23
177403,65,23,23
177404,65,29,29
177405,65,29,29
177406,46,23,23
177501,46,29,29
177503,49,20,20
177504,49,20,20
177505,19,20,20
177604,56,28,28
177605,56,28,28
177606,56,28,28
177607,56,28,28
177608,49,29,29
177609,49,20,20
178101,58,62,62
178102,65,62,62
178201,65,62,62
178204,56,28,28
178205,58,28,28
178206,58,28,28
179101,6,11,11
179102,27,5,5
180102,101,43,43
180103,92,43,43
180104,101,43,43
181100,8,4,4
181201,5,4,4
181203,8,4,4
181204,5,4,4
182103,73,13,13
182104,73,6,6
182105,19,6,6
182106,19,20,20
183100,60,36,36
183200,36,21,21
183300,108,11,11
183401,17,21,21
183402,17,21,21
183501,36,21,21
183502,36,21,21
183603,163,21,21
183604,50,53,53
183605,145,19,19
183606,50,19,19
184103,3,3,3
184104,3,3,3
184105,1,3,3
184106,22,3,3
184108,2,3,3
185101,135,27,27
185102,66,27,27
185103,66,27,27
185104,66,27,27
185201,74,33,33
185202,74,33,33
185203,88,33,33
186103,31,9,9
186104,31,18,18
186105,48,67,67
186106,31,9,9
186107,40,67,67
186201,61,9,9
186202,57,9,9
186203,61,67,67
186205,44,9,9
186206,57,9,9
187103,70,33,33
187104,70,33,33
187105,108,33,33
187106,108,33,33
188103,127,51,51
188104,131,51,51
188105,129,65,65
188106,129,65,65
188107,129,65,65
189105,11,14,14
189107,11,14,14
189108,13,25,25
189109,72,25,25
189110,13,14,14
189111,13,25,25
189112,29,14,14
190502,18,16,16
190503,18,16,16
190504,38,8,8
192300,24,13,13
192800,160,59,59
192900,7,6,6
193800,131,51,51
193900,131,51,51
194100,47,67,67
194300,41,15,15
194500,32,15,15
194800,6,5,5
194900,27,5,5
195600,96,31,31
195700,96,3,3
195800,3,3,3
195900,21,1,1
196000,139,45,45
196100,82,13,13
196200,126,38,38
196300,27,5,5
196400,89,39,39
196500,121,52,52
980100,83,63,63
980500,39,18,18
981100,43,18,18